Model: word2vec_100_10_0_15.model, Average Distance: 0.5351, Params: {'embedding_size': 100, 'window_size': 10, 'skip_gram': 0, 'epochs': 15}
Model: word2vec_100_10_0_30.model, Average Distance: 0.5355, Params: {'embedding_size': 100, 'window_size': 10, 'skip_gram': 0, 'epochs': 30}
Model: word2vec_100_10_0_40.model, Average Distance: 0.5378, Params: {'embedding_size': 100, 'window_size': 10, 'skip_gram': 0, 'epochs': 40}
Model: word2vec_100_10_1_5.model, Average Distance: 0.4217, Params: {'embedding_size': 100, 'window_size': 10, 'skip_gram': 1, 'epochs': 5}
Model: word2vec_100_10_1_10.model, Average Distance: 0.4555, Params: {'embedding_size': 100, 'window_size': 10, 'skip_gram': 1, 'epochs': 10}
Model: word2vec_100_10_1_15.model, Average Distance: 0.4776, Params: {'embedding_size': 100, 'window_size': 10, 'skip_gram': 1, 'epochs': 15}
Model: word2vec_100_10_1_30.model, Average Distance: 0.4939, Params: {'embedding_size': 100, 'window_size': 10, 'skip_gram': 1, 'epochs': 30}
Model: word2vec_100_10_1_40.model, Average Distance: 0.5003, Params: {'embedding_size': 100, 'window_size': 10, 'skip_gram': 1, 'epochs': 40}
Model: word2vec_200_2_0_5.model, Average Distance: 0.5490, Params: {'embedding_size': 200, 'window_size': 2, 'skip_gram': 0, 'epochs': 5}
Model: word2vec_200_2_0_10.model, Average Distance: 0.5841, Params: {'embedding_size': 200, 'window_size': 2, 'skip_gram': 0, 'epochs': 10}
Model: word2vec_200_2_0_15.model, Average Distance: 0.6037, Params: {'embedding_size': 200, 'window_size': 2, 'skip_gram': 0, 'epochs': 15}
Model: word2vec_200_2_0_30.model, Average Distance: 0.6269, Params: {'embedding_size': 200, 'window_size': 2, 'skip_gram': 0, 'epochs': 30}
Model: word2vec_200_2_0_40.model, Average Distance: 0.6296, Params: {'embedding_size': 200, 'window_size': 2, 'skip_gram': 0, 'epochs': 40}
Model: word2vec_200_2_1_5.model, Average Distance: 0.5051, Params: {'embedding_size': 200, 'window_size': 2, 'skip_gram': 1, 'epochs': 5}
Model: word2vec_200_2_1_10.model, Average Distance: 0.5660, Params: {'embedding_size': 200, 'window_size': 2, 'skip_gram': 1, 'epochs': 10}
Model: word2vec_200_2_1_15.model, Average Distance: 0.5976, Params: {'embedding_size': 200, 'window_size': 2, 'skip_gram': 1, 'epochs': 15}
Model: word2vec_200_2_1_30.model, Average Distance: 0.6336, Params: {'embedding_size': 200, 'window_size': 2, 'skip_gram': 1, 'epochs': 30}
Model: word2vec_200_2_1_40.model, Average Distance: 0.6446, Params: {'embedding_size': 200, 'window_size': 2, 'skip_gram': 1, 'epochs': 40}
Model: word2vec_200_3_0_5.model, Average Distance: 0.5524, Params: {'embedding_size': 200, 'window_size': 3, 'skip_gram': 0, 'epochs': 5}
Model: word2vec_200_3_0_10.model, Average Distance: 0.5791, Params: {'embedding_size': 200, 'window_size': 3, 'skip_gram': 0, 'epochs': 10}
Model: word2vec_200_3_0_15.model, Average Distance: 0.5931, Params: {'embedding_size': 200, 'window_size': 3, 'skip_gram': 0, 'epochs': 15}
Model: word2vec_200_3_0_30.model, Average Distance: 0.6094, Params: {'embedding_size': 200, 'window_size': 3, 'skip_gram': 0, 'epochs': 30}
Model: word2vec_200_3_0_40.model, Average Distance: 0.6146, Params: {'embedding_size': 200, 'window_size': 3, 'skip_gram': 0, 'epochs': 40}
Model: word2vec_200_3_1_5.model, Average Distance: 0.5060, Params: {'embedding_size': 200, 'window_size': 3, 'skip_gram': 1, 'epochs': 5}
Model: word2vec_200_3_1_10.model, Average Distance: 0.5619, Params: {'embedding_size': 200, 'window_size': 3, 'skip_gram': 1, 'epochs': 10}
Model: word2vec_200_3_1_15.model, Average Distance: 0.5883, Params: {'embedding_size': 200, 'window_size': 3, 'skip_gram': 1, 'epochs': 15}
Model: word2vec_200_3_1_30.model, Average Distance: 0.6259, Params: {'embedding_size': 200, 'window_size': 3, 'skip_gram': 1, 'epochs': 30}
Model: word2vec_200_3_1_40.model, Average Distance: 0.6365, Params: {'embedding_size': 200, 'window_size': 3, 'skip_gram': 1, 'epochs': 40}
Model: word2vec_200_4_0_5.model, Average Distance: 0.5577, Params: {'embedding_size': 200, 'window_size': 4, 'skip_gram': 0, 'epochs': 5}
Model: word2vec_200_4_0_10.model, Average Distance: 0.5784, Params: {'embedding_size': 200, 'window_size': 4, 'skip_gram': 0, 'epochs': 10}
Model: word2vec_200_4_0_15.model, Average Distance: 0.5905, Params: {'embedding_size': 200, 'window_size': 4, 'skip_gram': 0, 'epochs': 15}
Model: word2vec_200_4_0_30.model, Average Distance: 0.6048, Params: {'embedding_size': 200, 'window_size': 4, 'skip_gram': 0, 'epochs': 30}
Model: word2vec_200_4_0_40.model, Average Distance: 0.6094, Params: {'embedding_size': 200, 'window_size': 4, 'skip_gram': 0, 'epochs': 40}
Model: word2vec_200_4_1_5.model, Average Distance: 0.5063, Params: {'embedding_size': 200, 'window_size': 4, 'skip_gram': 1, 'epochs': 5}
